Alloys,Phase,Tg_K,Tx_K,Tl_K,Rc_mm/s,Dmax_mm
Ca50Cu20Mg20Al10,MMG,411.0,441.0,731.0,NAN,1
Ca50Cu25Mg15Zn10,MMG,395.0,434.0,678.0,NAN,10
Ca50Mg25Cu15Zn10,MMG,394.0,437.0,707.0,NAN,10
Ca55Cu23Mg11Zn11,MMG,379.0,430.0,717.0,NAN,1
Ca55Mg18Cu16Zn11,MMG,373.0,439.0,636.0,NAN,10
Ca58Mg18Cu12Zn12,MMG,373.0,428.0,628.0,NAN,10
Ca60Mg15Zn15Al10,MMG,403.0,474.0,703.0,NAN,4
Ca55Mg20Zn15Al10,MMG,403.0,469.0,773.0,NAN,3.5
Ca55Mg18Zn16Cu11,MMG,384.0,437.0,625.0,NAN,10
Ca50Cu25Zn15Mg10,MMG,395.0,427.0,702.0,NAN,2
Ca48Zn20Al19Mg13,MMG,436.0,487.0,813.0,NAN,0.5
Ca33.3Cu33.3Mg33.3,MMG,391.0,406.0,731.0,NAN,3
Ca36.4Cu36.4Mg27.2,MMG,383.0,412.0,706.0,NAN,8
Ca40.9Cu40.9Mg18.2,MMG,393.0,431.0,717.0,NAN,3
Ca62.5Mg17.5Zn20,MMG,375.0,412.0,640.0,NAN,10
Ca60Mg9Al11Cu20,MMG,401.0,450.0,755.0,NAN,NAN
Ca50Mg20Al10Cu20,MMG,411.0,441.0,731.0,NAN,NAN
Cu50Mg18.2Ca31.8,MMG,392.0,421.0,828.0,NAN,2
Ca50Mg20Zn5Cu25,MMG,399.0,441.0,654.0,NAN,10
Ca60Mg15Al10Zn15,MMG,403.0,474.0,703.0,NAN,NAN
Ca55Mg20Al10Zn15,MMG,403.0,469.0,774.0,NAN,NAN
Ca60Mg15Al10Cu15,MMG,397.0,430.0,689.0,NAN,NAN
Ca55Mg11Zn11Cu23,MMG,379.0,430.0,717.0,NAN,1
Ca50Mg10Zn15Cu25,MMG,395.0,427.0,702.0,NAN,2
Ca50Mg22.5Al5Cu22.5,MMG,416.2,456.2,762.0,NAN,3.5
Ca50Cu22.5Mg22.5Al5,MMG,416.0,456.0,762.0,NAN,3.5
Ca60Mg18Al10Cu6Zn6,MMG,407.0,449.0,803.0,NAN,5
Ca60Mg18Al15Cu4Zn3,MMG,417.0,468.0,776.0,NAN,2
Ca55Mg18Al15Cu6Zn6,MMG,409.0,450.0,854.0,NAN,2.5
Ca55Mg18Zn11Al10Cu6,MMG,401.0,444.0,835.0,NAN,3
Ca45Cu22.5Mg22.5Zn10,MMG,400.0,435.0,655.0,NAN,6
Ca55Mg18Cu11Zn11Al5,MMG,392.0,448.0,786.0,NAN,9
Ca65Li9.96Mg8.54Zn16.5,MMG,425.0,443.0,707.0,NAN,5
Ca42.5Cu21.5Mg21.5Zn15,MMG,401.0,435.0,658.0,NAN,4
Ca47.5Cu23.75Mg23.75Zn5,MMG,399.0,436.0,657.0,NAN,8
Ce60Al20Co20,MMG,424.0,468.0,798.0,NAN,1
Ce68Al10Cu20C2,MMG,352.0,406.0,723.0,NAN,2
Ce68Al10Cu20B2,MMG,346.0,393.0,731.0,NAN,2
Ce68Al10Cu20Si2,MMG,352.0,413.0,721.0,NAN,3
Ce68Al10Cu20Fe2,MMG,352.0,423.0,708.0,NAN,5
Ce69Al10Cu20Co1,MMG,340.0,421.0,713.0,NAN,10
Ce68Al10Cu20Co2,MMG,352.0,419.0,716.0,NAN,10
Ce65Al10Cu20Co5,MMG,363.0,414.0,695.0,NAN,8
Ce68Al10Cu20Ni2,MMG,352.0,421.0,710.0,NAN,5
Ce70Al10Cu17Zn3,MMG,341.0,412.0,733.0,NAN,3
Ce70Al10Cu10Ni10,MMG,359.0,377.0,714.0,NAN,3
Ce68Al10Cu20Nb2,MMG,345.0,421.0,721.0,NAN,8
Ce69.8Al10Cu20Co0.2,MMG,339.0,414.0,721.0,NAN,8
Ce69.5Al10Cu20Co0.5,MMG,337.0,419.0,716.0,NAN,10
Ce70Al10Cu20,MMG,341.0,408.0,722.0,NAN,2
Ce70Cu10Ni10Al10,MMG,359.0,377.0,714.0,NAN,NAN
Co63Mo24B13,MMG,856.0,887.0,1567.0,NAN,1
Co63Mo20B17,MMG,844.0,885.0,1570.0,NAN,1
Co64Mo22B14,MMG,834.0,886.0,1569.0,NAN,2
Co59Mo28B13,MMG,869.0,916.0,1548.0,NAN,1.5
Co25Cr25Fe25Ni25,CMA,883.0,1079.0,1467.0,NAN,NAN
Co33.3Cr33.3Ni33.3,CMA,878.0,1074.0,1468.0,NAN,NAN
Co25Cr25Cu25Fe25,CMA,853.0,1023.0,1439.0,NAN,NAN
Co25Cr25Fe25Mn25,CMA,847.0,987.0,1399.0,NAN,NAN
Co25Cr25Mn25Ni25,CMA,847.0,1016.0,1439.0,NAN,NAN
Co25Fe25Mn25Ni25,CMA,839.0,1006.0,1439.0,NAN,NAN
Co43B31.5Fe20Ta5.5,MMG,910.0,982.0,1526.0,NAN,NAN
Co43Fe20Ta5.5B31.5,MMG,910.0,982.0,1526.0,NAN,2
Co50Cr15Mo14C15B6,MMG,819.0,895.0,1417.0,NAN,2
Co50Cr15C15Mo14B6,MMG,819.0,895.0,1417.0,NAN,NAN
Co20Cr20Fe20Ni20V20,CMA,898.0,1098.0,1467.0,NAN,NAN
Co48Cr15Mo14C15B6Er2,MMG,848.0,933.0,1394.0,NAN,10
Co20Cr20Cu20Fe20Ni20,CMA,872.0,1043.0,1436.0,NAN,NAN
Co20Cr20Cu20Ni20Fe20,CMA,872.0,1043.0,1436.0,NAN,NAN
Co20Cu20Fe20Ni20Ni20,CMA,865.0,1035.0,1436.0,NAN,NAN
Co20Cr20Fe20Mn20Ni20,CMA,849.0,1018.0,1439.0,NAN,NAN
Co20Cu20Fe20Mn20Ni20,CMA,828.0,972.0,1408.0,NAN,NAN
Co25.0Fe25.0Ni25.0Ti25.0,CMA,838.0,914.0,1310.0,NAN,NAN
Co25.0Fe25.0Ni25.0V25.0,CMA,882.0,1078.0,1466.0,NAN,NAN
Co25.0Cr25.0Fe25.0Ni25.0,CMA,883.0,1079.0,1467.0,NAN,NAN
Co25.0Cr25.0Cu25.0Ni25.0,CMA,872.0,1043.0,1436.0,NAN,NAN
Co20.0Cr40.0Fe20.0Ni20.0,CMA,893.0,1092.0,1466.0,NAN,NAN
Co25.0Cu25.0Fe25.0Ni25.0,CMA,867.0,1034.0,1432.0,NAN,NAN
Co64.8Fe7.2B19.2Si4.8Nb4,MMG,803.0,843.0,1457.0,NAN,2
Co28.6Cu14.3Fe28.6Ni28.6,CMA,868.0,1040.0,1438.0,NAN,NAN
Co10.0Cr10.0Fe40.0Mn40.0,CMA,813.0,904.0,1335.0,NAN,NAN
Co25.0Fe25.0Mn25.0Ni25.0,CMA,839.0,1006.0,1439.0,NAN,NAN
Co25.0Cr25.0Fe25.0Mn25.0,CMA,847.0,987.0,1399.0,NAN,NAN
Co57.6Fe14.4B19.2Si4.8Nb4,MMG,813.0,853.0,1445.0,NAN,2.5
Co43.2Fe28.8B19.2Si4.8Nb4,MMG,823.0,865.0,1418.0,NAN,4
Co50.4Fe21.6B19.2Si4.8Nb4,MMG,820.0,860.0,1430.0,NAN,3.5
Co30.77Fe30.77Ni30.77Si7.69,CMA,874.0,1047.0,1438.0,NAN,NAN
Co25Cr16.67Fe16.67Ni25Ti16.67,CMA,870.0,1067.0,1472.0,NAN,NAN
Co24.1Cr24.1Fe24.1Nb3.7Ni24.1,CMA,887.0,1085.0,1468.0,NAN,NAN
Co20.0Cr20.0Mn20.0Ni20.0V20.0,CMA,865.0,1058.0,1468.0,NAN,NAN
Co20.0Cu20.0Fe20.0Ni20.0V20.0,CMA,858.0,991.0,1385.0,NAN,NAN
Co23.8Cr23.8Fe23.8Mo4.8Ni23.8,CMA,890.0,1091.0,1470.0,NAN,NAN
Co23.8Cr23.8Fe23.8Nb4.9Ni23.8,CMA,894.0,1094.0,1468.0,NAN,NAN
Co20.0Cr20.0Fe20.0Ni20.0Ti20.0,CMA,861.0,963.0,1342.0,NAN,NAN
Co20.0Cu20.0Fe20.0Ni20.0Ti20.0,CMA,793.0,878.0,1330.0,NAN,NAN
Co40Fe27B24Zr3Ti3Mo1.5Si1.5,MMG,811.0,856.0,1379.0,NAN,NAN
Co27.3Cr18.2Fe18.2Ni27.3Ti9.1,CMA,890.0,1090.0,1469.0,NAN,NAN
Co5.0Cr2.0Fe40.0Mn27.0Ni26.0,CMA,830.0,987.0,1426.0,NAN,NAN
Co23.8Fe23.8Ni23.8Cu23.8Cr5.0,CMA,870.0,1040.0,1434.0,NAN,NAN
Co23.8Cr23.8Fe23.8Mn23.8Ni5.0,CMA,846.0,993.0,1409.0,NAN,NAN
Co23.5Fe23.5Mn23.5Ni23.5Ti5.9,CMA,829.0,973.0,1408.0,NAN,NAN
Co22.2Cr22.2Fe22.2Ni22.2Ti11.1,CMA,881.0,1077.0,1468.0,NAN,NAN
Co23.8Cr23.8Cu23.8Ni23.8Fe5.0,CMA,872.0,1043.0,1436.0,NAN,NAN
Co22.2Cr27.8Fe22.2Mn5.6Ni22.2,CMA,885.0,1083.0,1468.0,NAN,NAN
Co22.2Cr22.2Cu11.1Fe22.2Ni22.2,CMA,871.0,1043.0,1436.0,NAN,NAN
Co16.7Cr16.7Cu16.7Ni16.7Fe33.3,CMA,872.0,1046.0,1439.0,NAN,NAN
Co16.7Cr16.7Fe16.7Cu16.7Ni33.3,CMA,872.0,1044.0,1436.0,NAN,NAN
Co24.4Cr24.4Fe24.4Mo2.4Ni24.4,CMA,881.0,1079.0,1470.0,NAN,NAN
Co24.4Cr24.4Fe24.4Nb2.5Ni24.4,CMA,882.0,1080.0,1469.0,NAN,NAN
Co22.5Fe22.5Ni22.5Cu22.5Cr10.0,CMA,870.0,1041.0,1435.0,NAN,NAN
Co21.3Fe21.3Ni21.3Cu21.3Cr15.0,CMA,870.0,1041.0,1436.0,NAN,NAN
Co22.2Fe22.2Mn22.2Ni22.2Ti11.1,CMA,824.0,935.0,1362.0,NAN,NAN
Co18.2Cr18.2Fe18.2Mn18.2Ni27.3,CMA,871.0,1044.0,1439.0,NAN,NAN
Co16.7Fe16.7Ni16.7Cu16.7Cr33.3,CMA,883.0,1080.0,1469.0,NAN,NAN
Co20.0Fe20.0Mn20.0Ni20.0V20.0,CMA,843.0,1010.0,1439.0,NAN,NAN
Co20.0Fe20.0Ni20.0Cu20.0Cr20.0,CMA,872.0,1043.0,1436.0,NAN,NAN
Co20.0Cr20.0Cu20.0Fe20.0Ni20.0,CMA,872.0,1043.0,1436.0,NAN,NAN
Co21.3Cr21.3Cu21.3Ni21.3Fe15.0,CMA,872.0,1043.0,1436.0,NAN,NAN
Co21.3Cr21.3Fe21.3Cu21.3Ni15.0,CMA,872.0,1046.0,1439.0,NAN,NAN
Co22.5Cr22.5Cu22.5Ni22.5Fe10.0,CMA,872.0,1043.0,1436.0,NAN,NAN
Co22.5Cr22.5Fe22.5Cu22.5Ni10.0,CMA,872.0,1045.0,1439.0,NAN,NAN
Co21.1Fe21.1Mn21.1Ni21.1Ti15.8,CMA,815.0,906.0,1333.0,NAN,NAN
Co20.0Cr20.0Cu20.0Fe20.0Mn20.0,CMA,823.0,929.0,1355.0,NAN,NAN
Co20.0Cr20.0Fe20.0Mn20.0Cu20.0,CMA,823.0,929.0,1355.0,NAN,NAN
Co16.7Cr16.7Fe16.7Mn16.7Ni33.3,CMA,871.0,1043.0,1436.0,NAN,NAN
Co22.2Cr22.2Fe11.1Mn11.1Ni33.3,CMA,873.0,1048.0,1442.0,NAN,NAN
Co10.0Cr20.0Fe20.0Mn30.0Ni20.0,CMA,839.0,944.0,1349.0,NAN,NAN
Co22.5Cr22.5Fe22.5Mn22.5Ni10.0,CMA,846.0,1015.0,1439.0,NAN,NAN
Co33.3Cr11.1Fe22.2Mn11.1Ni22.2,CMA,872.0,1044.0,1436.0,NAN,NAN
Co21.9Cr21.9Fe21.9Mn21.9Ni12.5,CMA,846.0,1014.0,1439.0,NAN,NAN
Co21.3Cr21.3Fe21.3Mn21.3Ni15.0,CMA,848.0,1017.0,1439.0,NAN,NAN
Co22.2Cr16.7Fe22.2Mn16.7Ni22.2,CMA,872.0,1045.0,1439.0,NAN,NAN
Co23.81Fe23.81Mo4.76Ni23.81V23.81,CMA,887.0,1067.0,1445.0,NAN,NAN
Co20.0Cr20.0Fe20.0Ni20.0Cu15.0Al5.0,CMA,839.0,1006.0,1438.0,NAN,NAN
Co26.8Cr17.9Fe17.9Mo1.8Ni26.8Ti8.9,CMA,891.0,1091.0,1469.0,NAN,NAN
Co23.78Cr23.78Fe23.78Nb4.90Ni23.78,CMA,894.0,1094.0,1468.0,NAN,NAN
Co22.22Cr22.22Co11.11Cr22.22Ni22.22,CMA,895.0,1096.0,1469.0,NAN,NAN
Co24.07Cr24.07Fe24.07Nb3.73Ni24.07,CMA,887.0,1085.0,1468.0,NAN,NAN
Co24.75Cu24.75Fe24.75Ni24.75Sn0.99,CMA,867.0,1034.0,1432.0,NAN,NAN
Co24.69Cu24.69Fe24.69Ni24.69Sn1.23,CMA,865.0,1034.0,1434.0,NAN,NAN
Co24.39Cu24.39Fe24.39Ni24.39Sn2.44,CMA,832.0,994.0,1433.0,NAN,NAN
Co18.2Cr18.2Fe18.2Mn18.2Ni18.2V9.1,CMA,865.0,1059.0,1469.0,NAN,NAN
Co24.57Cu24.57Fe24.57Ni24.57Sn1.72,CMA,863.0,1032.0,1434.0,NAN,NAN
Co24.88Cu24.88Fe24.88Ni24.88Sn0.50,CMA,867.0,1035.0,1432.0,NAN,NAN
Co22.22Cu22.22Fe22.22Ni22.22Ni11.11,CMA,866.0,1033.0,1432.0,NAN,NAN
Co22.22Cr22.22Cu11.11Fe22.22Ni22.22,CMA,871.0,1043.0,1436.0,NAN,NAN
Co17.4Cr17.4Fe17.4Mn17.4Ni17.4V13.0,CMA,863.0,1057.0,1469.0,NAN,NAN
Co16.7Cr16.7Fe16.7Mn16.7Ni16.7Ti16.7,CMA,834.0,890.0,1280.0,NAN,NAN
Co16.7Cr16.7Fe16.7Ni16.7Mn16.7Cu16.7,CMA,830.0,975.0,1410.0,NAN,NAN
Co18.18Cr18.18Fe18.18Mn18.18Ni18.18V9.09,CMA,865.0,1059.0,1469.0,NAN,NAN
Co19.05Cr19.05Fe19.05Mn19.05Ni19.05V4.76,CMA,848.0,1017.0,1439.0,NAN,NAN
Co18.18Cr18.18Cu18.18Fe18.18Ni18.18Ti9.09,CMA,842.0,1001.0,1426.0,NAN,NAN
Co16.67Cr16.67Cu16.67Fe16.67Ni16.67Ti16.67,CMA,841.0,950.0,1356.0,NAN,NAN
Co17.24Cr17.24Cu17.24Fe17.24Ni17.24Ti13.79,CMA,840.0,944.0,1348.0,NAN,NAN
Co16.67Cr16.67Ni16.67Fe16.67Cr16.67Ti16.67,CMA,869.0,969.0,1337.0,NAN,NAN
Co19.61Cu19.61Fe19.61Mn19.61Ni19.61Sn1.96,CMA,812.0,914.0,1351.0,NAN,NAN
Co19.88Cu19.88Fe19.88Mn19.88Ni19.88Sn0.60,CMA,820.0,922.0,1349.0,NAN,NAN
Co19.69Cu19.69Fe19.69Mn19.69Ni19.69Sn1.57,CMA,820.0,925.0,1354.0,NAN,NAN
Co17.39Cr17.39Fe17.39Mn17.39Ni17.39V13.04,CMA,863.0,1057.0,1469.0,NAN,NAN
Co19.80Cu19.80Fe19.80Mn19.80Ni19.80Sn0.99,CMA,820.0,922.0,1349.0,NAN,NAN
Co16.67Cr16.67Fe16.67Mn16.67Ni16.67V16.67,CMA,866.0,1059.0,1469.0,NAN,NAN
Co28.57Fe28.57Ni28.57Si14.29,CMA,834.0,1002.0,1441.0,NAN,NAN
Co22.9Cr22.9Fe22.9Ni22.9Al8.6,CMA,844.0,1012.0,1439.0,NAN,NAN
Co23.5Cr23.5Fe23.5Ni23.5Al5.9,CMA,873.0,1048.0,1439.0,NAN,NAN
Co23.2Cr23.2Fe23.2Nb7.2Ni23.2,CMA,898.0,1099.0,1469.0,NAN,NAN
Co23.3Cr23.3Fe23.3Ni23.3Mo7.0,CMA,897.0,1099.0,1470.0,NAN,NAN
Co27.8Cu13.9Fe27.8Ni27.8Ta2.8,CMA,869.0,1042.0,1439.0,NAN,NAN
Co22.7Cr22.7Fe22.7Nb9.1Ni22.7,CMA,898.0,1098.0,1467.0,NAN,NAN
Co22.2Cr22.2Fe22.2Ni22.2Al11.1,CMA,845.0,984.0,1398.0,NAN,NAN
Co12.5Cr12.5Fe12.5Al12.5Ni50.0,CMA,829.0,986.0,1427.0,NAN,NAN
Co22.73Fe22.73Mo9.09Ni22.73V22.73,CMA,973.0,1120.0,1435.0,NAN,NAN
Co25.0Cr16.7Fe16.7Mo8.3Ni25.0Ti8.3,CMA,918.0,1131.0,1479.0,NAN,NAN
Co22.7Cr22.7Fe22.7Ni22.7Al6.8Mo2.3,CMA,884.0,1077.0,1462.0,NAN,NAN
Co22.67Cr22.67Fe22.67Nb9.34Ni22.67,CMA,898.0,1098.0,1467.0,NAN,NAN
Co18.5Fe18.5Mn18.5Ti18.5V18.5Zr7.4,CMA,827.0,904.0,1310.0,NAN,NAN
Co23.21Cr23.21Fe23.21Nb7.17Ni23.21,CMA,898.0,1099.0,1469.0,NAN,NAN
Co23.81Cu23.81Fe23.81Ni23.81Sn4.76,CMA,804.0,889.0,1326.0,NAN,NAN
Co13.3Cr13.3Cu13.3Fe13.3Ni13.3Ti33.3,CMA,797.0,841.0,1266.0,NAN,NAN
Co22.22Cr22.22Fe22.22Mo11.11Ni22.22,CMA,910.0,1123.0,1481.0,NAN,NAN
Co17.5Fe17.5Mn17.5Ti17.5V17.5Zr12.3,CMA,835.0,915.0,1314.0,NAN,NAN
Co23.8Cr15.9Fe15.9Mo12.7Ni23.8Ti7.9,CMA,934.0,1163.0,1494.0,NAN,NAN
Co17.0Cr17.0Fe17.0Ni17.0Cu17.0Al8.5V6.8,CMA,821.0,923.0,1350.0,NAN,NAN
Co16.4Cr16.4Fe16.4Ni16.4Cu16.4Al8.2V9.8,CMA,822.0,925.0,1351.0,NAN,NAN
Co15.9Cr15.9Fe15.9Ni15.9Cu15.9Al7.7V12.7,CMA,821.0,906.0,1325.0,NAN,NAN
Co15.2Cr15.2Fe15.2Ni15.2Cu15.2Al9.1V15.2,CMA,817.0,893.0,1312.0,NAN,NAN
Co13.3Cr13.3Fe13.3Ni13.3Cu13.3Al6.7V26.7,CMA,831.0,894.0,1290.0,NAN,NAN
Co13.7Cr13.7Fe13.7Ni13.7Cu13.7Al6.9V24.7,CMA,831.0,892.0,1289.0,NAN,NAN
Co14.1Cr14.1Fe14.1Ni14.1Cu14.1Al7.0V22.5,CMA,835.0,904.0,1299.0,NAN,NAN
Co14.5Cr14.5Fe14.5Ni14.5Cu14.5Al7.3V20.3,CMA,835.0,906.0,1301.0,NAN,NAN
Co19.23Cu19.23Fe19.23Mn19.23Ni19.23Sn3.85,CMA,805.0,893.0,1331.0,NAN,NAN
Co17.39Cr17.39Cu17.39Ni17.39Ni17.39Nb13.04,CMA,903.0,1105.0,1468.0,NAN,NAN
Co14.29Fe14.29Ni14.29Ni14.29V14.29V14.29Zr14.29,CMA,865.0,951.0,1319.0,NAN,NAN
Co16.7Fe16.7Ni16.7Al16.7Cr33.3,CMA,814.0,856.0,1262.0,NAN,NAN
Co20.0Cr20.0Fe20.0Ni20.0Cu5.0Al15.0,CMA,809.0,864.0,1281.0,NAN,NAN
Co21.74Fe21.74Mo13.04Ni21.74V21.74,CMA,944.0,1158.0,1471.0,NAN,NAN
Co14.3Cr14.3Fe14.3Al14.3Ni42.9,CMA,820.0,923.0,1352.0,NAN,NAN
Co16.7Ni16.7Cr16.7Al16.7Fe33.3,CMA,801.0,847.0,1270.0,NAN,NAN
Co14.3Cr14.3Fe14.3Ni14.3Cu14.3Al14.3V14.3,CMA,776.0,820.0,1268.0,NAN,NAN
Co12.5Fe12.5Mn12.5Ti12.5V37.5Zr12.5,CMA,869.0,988.0,1364.0,NAN,NAN
Co15.4Cr15.4Fe15.4Al15.4Ni38.5,CMA,820.0,909.0,1331.0,NAN,NAN
Cr16.7Fe16.7Ni16.7Al16.7Co33.3,CMA,809.0,861.0,1278.0,NAN,NAN
Co13.2Fe13.2Mn13.2Ti13.2V34.2Zr13.2,CMA,866.0,982.0,1361.0,NAN,NAN
Co13.7Fe13.7Mn13.7Ti13.7V31.5Zr13.7,CMA,867.0,982.0,1359.0,NAN,NAN
Co16.7Cr16.7Fe16.7Al16.7Ni33.3,CMA,809.0,861.0,1278.0,NAN,NAN
Co20.5Cr20.5Fe20.5Ni20.5Al18.0,CMA,800.0,846.0,1270.0,NAN,NAN
Co13.3Fe13.3Mn13.3Ti33.3V13.3Zr13.3,CMA,856.0,965.0,1353.0,NAN,NAN
Co14.3Fe14.3Mn14.3Ti14.3V28.6Zr14.3,CMA,868.0,976.0,1349.0,NAN,NAN
Co18.2Cr18.2Fe18.2Al18.2Ni27.3,CMA,802.0,849.0,1270.0,NAN,NAN
Co14.3Fe14.3Mn14.3Ti28.6V14.3Zr14.3,CMA,858.0,968.0,1353.0,NAN,NAN
Co15.2Fe15.2Mn15.2Ti15.2V24.2Zr15.2,CMA,867.0,958.0,1326.0,NAN,NAN
Co19.1Cr19.1Fe19.1Ni19.1Cu4.8Al19.1,CMA,972.0,831.0,1258.0,NAN,NAN
Co15.4Fe15.4Mn15.4Ti23.1V15.4Zr15.4,CMA,860.0,967.0,1350.0,NAN,NAN
Co15.9Fe15.9Mn15.9Ti15.9V20.6Zr15.9,CMA,865.0,953.0,1322.0,NAN,NAN
Co26.67Fe26.67Ni26.67Si19.99,CMA,820.0,889.0,1301.0,NAN,NAN
Co16.7Cr16.7Fe16.7Mn16.7Nb16.7Ni16.7,CMA,925.0,1133.0,1470.0,NAN,NAN
Co15.4Cr15.4Fe30.8Ni15.4Al15.4Mo7.7,CMA,844.0,972.0,1381.0,NAN,NAN
Co20.0Ni20.0Cr20.0Al20.0Fe20.0,CMA,794.0,832.0,1258.0,NAN,NAN
Co16.7Fe16.7Mn16.7Ti16.7V16.7Zr16.7,CMA,865.0,953.0,1321.0,NAN,NAN
Co30.8Cr15.4Fe15.4Ni15.4Al15.4Mo7.7,CMA,848.0,1018.0,1441.0,NAN,NAN
Co16.67Fe16.67Mo16.67Ni33.33V16.67,CMA,939.0,1155.0,1476.0,NAN,NAN
Co20.8Cr20.8Fe20.8Mo16.7Ni20.8,CMA,910.0,1124.0,1483.0,NAN,NAN
Co21.3Cr21.3Fe21.3Al21.3Ni15.0,CMA,797.0,834.0,1257.0,NAN,NAN
Co20.0Cr20.0Fe20.0Ni20.0Zr20.0,CMA,857.0,962.0,1347.0,NAN,NAN
Co17.5Fe17.5Mn17.5Ti17.5V12.3Zr17.5,CMA,859.0,951.0,1328.0,NAN,NAN
Co15.6Cr15.6Fe15.6Ni15.6Cu15.6Al15.6Mo6.3,CMA,802.0,877.0,1312.0,NAN,NAN
Co21.3Ni21.3Cr21.3Al21.3Fe15.0,CMA,797.0,834.0,1255.0,NAN,NAN
Co17.24Fe17.24Mo17.24Ni31.03V17.24,CMA,939.0,1155.0,1476.0,NAN,NAN
Co18.2Fe18.2Mn18.2Ti9.1V18.2Zr18.2,CMA,849.0,929.0,1313.0,NAN,NAN
Co21.3Fe21.3Ni21.3Al21.3Cr15.0,CMA,791.0,828.0,1257.0,NAN,NAN
Co19.05Cr19.05Fe19.05Ni19.05Al19.05Nb4.76,CMA,796.0,835.0,1259.0,NAN,NAN
Co22.5Cr22.5Fe22.5Al22.5Ni10.0,CMA,796.0,831.0,1253.0,NAN,NAN
Co20.0Cr20.0Ni20.0Cu20.0Al20.0,CMA,787.0,818.0,1248.0,NAN,NAN
Co18.5Fe18.5Mn18.5Ti18.5V7.4Zr18.5,CMA,844.0,931.0,1323.0,NAN,NAN
Co25.0Cr16.7Fe16.7Ni16.7Al16.7Mo8.3,CMA,842.0,966.0,1377.0,NAN,NAN
Co17.86Fe17.86Mo17.86Ni28.57V17.86,CMA,939.0,1154.0,1475.0,NAN,NAN
Co15.2Cr15.2Fe15.2Ni15.2Cu15.2Al15.2Mo9.1,CMA,811.0,904.0,1338.0,NAN,NAN
Co22.5Ni22.5Cr22.5Al22.5Fe10.0,CMA,797.0,830.0,1249.0,NAN,NAN
Co16.7Cr25.0Fe16.7Ni16.7Al16.7Mo8.3,CMA,849.0,928.0,1311.0,NAN,NAN
Co20.0Cr20.0Fe20.0Nb20.0Ni20.0,CMA,936.0,1172.0,1503.0,NAN,NAN
Co23.8Cr23.8Fe23.8Al23.8Ni5.0,CMA,796.0,836.0,1259.0,NAN,NAN
Co16.67Fe16.67Mo16.67Ni16.67Ti16.67V16.67,CMA,941.0,1127.0,1438.0,NAN,NAN
Co27.0Cu13.5Fe27.0Ni27.0Ta5.4,CMA,872.0,1046.0,1441.0,NAN,NAN
Co20.83Fe20.83Mo16.67V20.83V20.83,CMA,942.0,1125.0,1432.0,NAN,NAN
Co22.5Fe22.5Ni22.5Al22.5Cr10.0,CMA,784.0,817.0,1250.0,NAN,NAN
Co19.1Cr19.1Fe19.1Ni 19.1Al23.8,CMA,794.0,830.0,1256.0,NAN,NAN
Co23.8Ni23.8Cr23.8Al23.8Fe5.0,CMA,797.0,830.0,1251.0,NAN,NAN
Co18.52Fe18.52Mo18.52Ni25.93V18.52,CMA,938.0,1149.0,1471.0,NAN,NAN
Co20.0Cr20.0Fe20.0Ni20.0W20.0,CMA,946.0,1175.0,1490.0,NAN,NAN
Co25.6Cu12.8Fe25.6Ni25.6Ta10.3,CMA,888.0,1088.0,1471.0,NAN,NAN
Co25.0Cu12.5Fe25.0Ni25.0Ta12.5,CMA,888.0,1089.0,1471.0,NAN,NAN
Co19.1Ce19.1Fe19.1Mn19.1Ni19.1V4.8,CMA,786.0,898.0,1370.0,NAN,NAN
Co24.4Cu12.2Fe24.4Ni24.4Ta14.6,CMA,920.0,1132.0,1477.0,NAN,NAN
Co20.0Cr20.0Fe20.0Hf20.0Ni20.0,CMA,868.0,976.0,1349.0,NAN,NAN
Co20.0Cr20.0Fe20.0Ni20.0Ta20.0,CMA,937.0,1172.0,1501.0,NAN,NAN
Co14.3Fe14.3Mn14.3Ti14.3V14.3Zr28.6,CMA,749.0,823.0,1318.0,NAN,NAN
Co20Cr20Fe20Ni20Pd20,CMA,886.0,1086.0,1470.0,NAN,NAN
Co19.6Cr19.6Fe11.8Ni19.6Al19.6Mo9.8,CMA,827.0,875.0,1269.0,NAN,NAN
Co10.0Cr20.0Fe20.0Ni20.0Al20.0Mo10.0,CMA,820.0,874.0,1279.0,NAN,NAN
Co15.2Fe15.2Mn15.2Ti15.2V15.2Zr24.2,CMA,853.0,955.0,1344.0,NAN,NAN
Co25.0Cu25.0Ni25.0Al25.0,CMA,804.0,877.0,1309.0,NAN,NAN
Co18.2Cr18.2Fe18.2Ni18.2Al18.2Mo9.1,CMA,830.0,884.0,1279.0,NAN,NAN
Co14.7Cr14.7Fe14.7Ni14.7Cu14.7Al14.7Mo11.8,CMA,833.0,958.0,1381.0,NAN,NAN
Co20.0Fe20.0Mn20.0Mo20.0Ni20.0,CMA,922.0,1096.0,1426.0,NAN,NAN
Co23.8Fe23.8Ni23.8Al23.8Cr5.0,CMA,774.0,808.0,1252.0,NAN,NAN
Co25.0Ni25.0Cr25.0Al25.0,CMA,794.0,829.0,1254.0,NAN,NAN
Co15.9Fe15.9Mn15.9Ti15.9V15.9Zr20.6,CMA,854.0,962.0,1351.0,NAN,NAN
Co20.0Cr20.0Fe20.0Mo20.0Ni20.0,CMA,823.0,1150.0,1496.0,NAN,NAN
Co20Fe20Mo20V20Ni20,CMA,937.0,1121.0,1435.0,NAN,NAN
