"Alloys","Phase","Tg","Tx","Tl","Rc_mm/s","Dmax_mm"
"Ca50Mg25Cu15Zn10","MMG",394,437,707,"NAN",10
"Ca55Cu23Mg11Zn11","MMG",379,430,717,"NAN",1
"Ca55Mg18Cu16Zn11","MMG",373,439,636,"NAN",10
"Ca58Mg18Cu12Zn12","MMG",373,428,628,"NAN",10
"Ca60Mg15Zn15Al10","MMG",403,474,703,"NAN",4
"Ca55Mg20Zn15Al10","MMG",403,469,773,"NAN",3.5
"Ca55Mg18Zn16Cu11","MMG",384,437,625,"NAN",10
"Ca50Cu25Zn15Mg10","MMG",395,427,702,"NAN",2
"Ca48Zn20Al19Mg13","MMG",436,487,813,"NAN",0.5
"Ca33.3Cu33.3Mg33.3","MMG",391,406,731,"NAN",3
"Ca36.4Cu36.4Mg27.2","MMG",383,412,706,"NAN",8
"Ca40.9Cu40.9Mg18.2","MMG",393,431,717,"NAN",3
"Ca62.5Mg17.5Zn20","MMG",375,412,640,"NAN",10
"Ca60Mg9Al11Cu20","MMG",401,450,755,"NAN","NAN"
"Ca50Mg20Al10Cu20","MMG",411,441,731,"NAN","NAN"
"Cu50Mg18.2Ca31.8","MMG",392,421,828,"NAN",2
"Ca50Mg20Zn5Cu25","MMG",399,441,654,"NAN",10
"Ca60Mg15Al10Zn15","MMG",403,474,703,"NAN","NAN"
"Ca55Mg20Al10Zn15","MMG",403,469,774,"NAN","NAN"
"Ca60Mg15Al10Cu15","MMG",397,430,689,"NAN","NAN"
"Ca55Mg11Zn11Cu23","MMG",379,430,717,"NAN",1
"Ca55Mg18Zn11Cu16","MMG",373,439,"NAN","NAN",10
"Ca58Mg18Zn12Cu12","MMG",393,437,"NAN","NAN",1
"Ca50Mg10Zn15Cu25","MMG",395,427,702,"NAN",2
"Ca50Mg22.5Al5Cu22.5","MMG",416.2,456.2,762,"NAN",3.5
"Ca55Mg18Al5Zn11Cu11","MMG",392.2,448.2,"NAN","NAN",9
"Ca50Cu22.5Mg22.5Al5","MMG",416,456,762,"NAN",3.5
"Ca55.5Al29.5Mg10Ag5","MMG",489,521,"NAN","NAN",2
"Ca57.5Al27.5Mg10Ag5","MMG",493,528,"NAN","NAN",2
"Ca56.5Al28.5Mg10Cu5","MMG",493,520,"NAN","NAN",3
"Ca56.5Al28.5Mg10Ag5","MMG",488,515,"NAN","NAN",3
"Ca60Mg18Al10Cu6Zn6","MMG",407,449,803,"NAN",5
"Ca60Mg18Al15Cu4Zn3","MMG",417,468,776,"NAN",2
"Ca55Mg18Al15Cu6Zn6","MMG",409,450,854,"NAN",2.5
"Ca55Mg18Zn11Al10Cu6","MMG",401,444,835,"NAN",3
"Ca45Cu22.5Mg22.5Zn10","MMG",400,435,655,"NAN",6
"Ca55Mg18Cu11Zn11Al5","MMG",392,448,786,"NAN",9
"Ca65Li9.96Mg8.54Zn16.5","MMG",425,443,707,"NAN",5
"Ca42.5Cu21.5Mg21.5Zn15","MMG",401,435,658,"NAN",4
"Ca47.5Cu23.75Mg23.75Zn5","MMG",399,436,657,"NAN",8
"Ca58.3Mg17.7Zn11.9Cu12.1","MMG",382,428,"NAN","NAN",1
"Ce60Al20Co20","MMG",424,468,798,"NAN",1
"Ce68Al10Cu20C2","MMG",352,406,723,"NAN",2
"Ce68Al10Cu20B2","MMG",346,393,731,"NAN",2
"Ce68Al10Cu20Si2","MMG",352,413,721,"NAN",3
"Ce68Al10Cu20Fe2","MMG",352,423,708,"NAN",5
"Ce69Al10Cu20Co1","MMG",340,421,713,"NAN",10
"Ce68Al10Cu20Co2","MMG",352,419,716,"NAN",10
"Ce65Al10Cu20Co5","MMG",363,414,695,"NAN",8
"Ce68Al10Cu20Ni2","MMG",352,421,710,"NAN",5
"Ce70Al10Cu17Zn3","MMG",341,412,733,"NAN",3
"Ce70Al10Cu10Ni10","MMG",359,377,714,"NAN",3
"Ce68Al10Cu20Nb2","MMG",345,421,721,"NAN",8
"Ce69.8Al10Cu20Co0.2","MMG",339,414,721,"NAN",8
"Ce69.5Al10Cu20Co0.5","MMG",337,419,716,"NAN",10
"Ce70Al10Cu20","MMG",341,408,722,"NAN",2
"Ce70Al10Ni10Cu10","MMG","NAN","NAN","NAN",445,"NAN"
"Ce70Cu10Ni10Al10","MMG",359,377,714,"NAN","NAN"
"Ce13.6La54.4Al10Cu20Co2","MMG",366,409,"NAN","NAN","NAN"
"Ce34La34Al10Cu20Co2","MMG",362,419,"NAN","NAN","NAN"
"Co63W21B16","MMG","NAN","NAN","NAN","NAN","NAN"
"Co60W23B17","MMG","NAN","NAN","NAN","NAN","NAN"
"Co75Si15B10","MMG","NAN","NAN","NAN",350000,"NAN"
"Co69W17B14","MMG","NAN","NAN","NAN","NAN","NAN"
"Co63Mo24B13","MMG",856,887,1567,"NAN",1
"Co63Mo20B17","MMG",844,885,1570,"NAN",1
"Co64Mo22B14","MMG",834,886,1569,"NAN",2
"Co59Mo28B13","MMG",869,916,1548,"NAN",1.5
"Co25Cr25Fe25Ni25","CMA",883,1079,1467,"NAN","NAN"
"Co33.3Cr33.3Ni33.3","CMA",878,1074,1468,"NAN","NAN"
"Co25Cr25Cu25Fe25","CMA",853,1023,1439,"NAN","NAN"
"Co25Cr25Fe25Mn25","CMA",847,987,1399,"NAN","NAN"
"Co25Cr25Mn25Ni25","CMA",847,1016,1439,"NAN","NAN"
"Co25Fe25Mn25Ni25","CMA",839,1006,1439,"NAN","NAN"
"Co43B31.5Fe20Ta5.5","MMG",910,982,1526,"NAN","NAN"
"Co43Fe20Ta5.5B31.5","MMG",910,982,1526,"NAN",2
"Co50Cr15Mo14C15B6","MMG",819,895,1417,"NAN",2
"Co50Cr15C15Mo14B6","MMG",819,895,1417,"NAN","NAN"
"Co20Cr20Fe20Ni20V20","CMA",898,1098,1467,"NAN","NAN"
"Co48Cr15Mo14C15B6Er2","MMG",848,933,1394,"NAN",10
"Co20Cr20Cu20Fe20Ni20","CMA",872,1043,1436,"NAN","NAN"
"Co20Cr20Cu20Ni20Fe20","CMA",872,1043,1436,"NAN","NAN"
"Co20Cu20Fe20Ni20Ni20","CMA",865,1035,1436,"NAN","NAN"
"Co20Cr20Fe20Mn20Ni20","CMA",849,1018,1439,"NAN","NAN"
"Co20Cu20Fe20Mn20Ni20","CMA",828,972,1408,"NAN","NAN"
"Co25.0Fe25.0Ni25.0Ti25.0","CMA",838,914,1310,"NAN","NAN"
"Co25.0Fe25.0Ni25.0V25.0","CMA",882,1078,1466,"NAN","NAN"
"Co25.0Cr25.0Fe25.0Ni25.0","CMA",883,1079,1467,"NAN","NAN"
"Co25.0Cr25.0Cu25.0Ni25.0","CMA",872,1043,1436,"NAN","NAN"
"Co20.0Cr40.0Fe20.0Ni20.0","CMA",893,1092,1466,"NAN","NAN"
"Co25.0Cu25.0Fe25.0Ni25.0","CMA",867,1034,1432,"NAN","NAN"
"Co64.8Fe7.2B19.2Si4.8Nb4","MMG",803,843,1457,"NAN",2
"Co28.6Cu14.3Fe28.6Ni28.6","CMA",868,1040,1438,"NAN","NAN"
"Co10.0Cr10.0Fe40.0Mn40.0","CMA",813,904,1335,"NAN","NAN"
"Co25.0Fe25.0Mn25.0Ni25.0","CMA",839,1006,1439,"NAN","NAN"
"Co25.0Cr25.0Fe25.0Mn25.0","CMA",847,987,1399,"NAN","NAN"
"Co57.6Fe14.4B19.2Si4.8Nb4","MMG",813,853,1445,"NAN",2.5
"Co43.2Fe28.8B19.2Si4.8Nb4","MMG",823,865,1418,"NAN",4
"Co50.4Fe21.6B19.2Si4.8Nb4","MMG",820,860,1430,"NAN",3.5
"Co30.77Fe30.77Ni30.77Si7.69","CMA",874,1047,1438,"NAN","NAN"
"Co25Cr16.67Fe16.67Ni25Ti16.67","CMA",870,1067,1472,"NAN","NAN"
"Co24.1Cr24.1Fe24.1Nb3.7Ni24.1","CMA",887,1085,1468,"NAN","NAN"
"Co20.0Cr20.0Mn20.0Ni20.0V20.0","CMA",865,1058,1468,"NAN","NAN"
"Co20.0Cu20.0Fe20.0Ni20.0V20.0","CMA",858,991,1385,"NAN","NAN"
"Co23.8Cr23.8Fe23.8Mo4.8Ni23.8","CMA",890,1091,1470,"NAN","NAN"
"Co23.8Cr23.8Fe23.8Nb4.9Ni23.8","CMA",894,1094,1468,"NAN","NAN"
"Co20.0Cr20.0Fe20.0Ni20.0Ti20.0","CMA",861,963,1342,"NAN","NAN"
"Co20.0Cu20.0Fe20.0Ni20.0Ti20.0","CMA",793,878,1330,"NAN","NAN"
"Co40Fe27B24Zr3Ti3Mo1.5Si1.5","MMG",811,856,1379,"NAN","NAN"
"Co27.3Cr18.2Fe18.2Ni27.3Ti9.1","CMA",890,1090,1469,"NAN","NAN"
"Co20Fe20Ni10Cr15Mo15C10B10","MMG",800.83,838.28,"NAN","NAN","NAN"
"Co20Fe20Ni10Cr10Mo10C15B15","MMG",843.6,900.01,"NAN","NAN","NAN"
"Co5.0Cr2.0Fe40.0Mn27.0Ni26.0","CMA",830,987,1426,"NAN","NAN"
"Co23.8Fe23.8Ni23.8Cu23.8Cr5.0","CMA",870,1040,1434,"NAN","NAN"
"Co23.8Cr23.8Fe23.8Mn23.8Ni5.0","CMA",846,993,1409,"NAN","NAN"
"Co23.5Fe23.5Mn23.5Ni23.5Ti5.9","CMA",829,973,1408,"NAN","NAN"
"Co22.2Cr22.2Fe22.2Ni22.2Ti11.1","CMA",881,1077,1468,"NAN","NAN"
"Co23.8Cr23.8Cu23.8Ni23.8Fe5.0","CMA",872,1043,1436,"NAN","NAN"
"Co22.2Cr27.8Fe22.2Mn5.6Ni22.2","CMA",885,1083,1468,"NAN","NAN"
"Co22.2Cr22.2Cu11.1Fe22.2Ni22.2","CMA",871,1043,1436,"NAN","NAN"
"Co16.7Cr16.7Cu16.7Ni16.7Fe33.3","CMA",872,1046,1439,"NAN","NAN"
"Co16.7Cr16.7Fe16.7Cu16.7Ni33.3","CMA",872,1044,1436,"NAN","NAN"
"Co24.4Cr24.4Fe24.4Mo2.4Ni24.4","CMA",881,1079,1470,"NAN","NAN"
"Co24.4Cr24.4Fe24.4Nb2.5Ni24.4","CMA",882,1080,1469,"NAN","NAN"
"Co22.5Fe22.5Ni22.5Cu22.5Cr10.0","CMA",870,1041,1435,"NAN","NAN"
"Co21.3Fe21.3Ni21.3Cu21.3Cr15.0","CMA",870,1041,1436,"NAN","NAN"
"Co22.2Fe22.2Mn22.2Ni22.2Ti11.1","CMA",824,935,1362,"NAN","NAN"
"Co18.2Cr18.2Fe18.2Mn18.2Ni27.3","CMA",871,1044,1439,"NAN","NAN"
"Co16.7Fe16.7Ni16.7Cu16.7Cr33.3","CMA",883,1080,1469,"NAN","NAN"
"Co20.0Fe20.0Mn20.0Ni20.0V20.0","CMA",843,1010,1439,"NAN","NAN"
"Co20.0Fe20.0Ni20.0Cu20.0Cr20.0","CMA",872,1043,1436,"NAN","NAN"
"Co20.0Cr20.0Cu20.0Fe20.0Ni20.0","CMA",872,1043,1436,"NAN","NAN"
"Co21.3Cr21.3Cu21.3Ni21.3Fe15.0","CMA",872,1043,1436,"NAN","NAN"
"Co21.3Cr21.3Fe21.3Cu21.3Ni15.0","CMA",872,1046,1439,"NAN","NAN"
"Co22.5Cr22.5Cu22.5Ni22.5Fe10.0","CMA",872,1043,1436,"NAN","NAN"
"Co22.5Cr22.5Fe22.5Cu22.5Ni10.0","CMA",872,1045,1439,"NAN","NAN"
"Co21.1Fe21.1Mn21.1Ni21.1Ti15.8","CMA",815,906,1333,"NAN","NAN"
"Co20.0Cr20.0Cu20.0Fe20.0Mn20.0","CMA",823,929,1355,"NAN","NAN"
"Co20.0Cr20.0Fe20.0Mn20.0Cu20.0","CMA",823,929,1355,"NAN","NAN"
"Co16.7Cr16.7Fe16.7Mn16.7Ni33.3","CMA",871,1043,1436,"NAN","NAN"
"Co22.2Cr22.2Fe11.1Mn11.1Ni33.3","CMA",873,1048,1442,"NAN","NAN"
"Co10.0Cr20.0Fe20.0Mn30.0Ni20.0","CMA",839,944,1349,"NAN","NAN"
"Co22.5Cr22.5Fe22.5Mn22.5Ni10.0","CMA",846,1015,1439,"NAN","NAN"
"Co33.3Cr11.1Fe22.2Mn11.1Ni22.2","CMA",872,1044,1436,"NAN","NAN"
"Co21.9Cr21.9Fe21.9Mn21.9Ni12.5","CMA",846,1014,1439,"NAN","NAN"
"Co21.3Cr21.3Fe21.3Mn21.3Ni15.0","CMA",848,1017,1439,"NAN","NAN"
"Co22.2Cr16.7Fe22.2Mn16.7Ni22.2","CMA",872,1045,1439,"NAN","NAN"
"Co25Fe12.5Ni12.5Cr15Mo15C10B10","MMG",828.15,863.77,"NAN","NAN","NAN"
"Co25Fe12.5Ni12.5Cr10Mo10C15B15","MMG",851.29,871.24,"NAN","NAN","NAN"
"Co23.81Fe23.81Mo4.76Ni23.81V23.81","CMA",887,1067,1445,"NAN","NAN"
"Co20.0Cr20.0Fe20.0Ni20.0Cu15.0Al5.0","CMA",839,1006,1438,"NAN","NAN"
"Co26.8Cr17.9Fe17.9Mo1.8Ni26.8Ti8.9","CMA",891,1091,1469,"NAN","NAN"
"Co23.78Cr23.78Fe23.78Nb4.90Ni23.78","CMA",894,1094,1468,"NAN","NAN"
"Co22.22Cr22.22Co11.11Cr22.22Ni22.22","CMA",895,1096,1469,"NAN","NAN"
"Co24.07Cr24.07Fe24.07Nb3.73Ni24.07","CMA",887,1085,1468,"NAN","NAN"
"Co24.75Cu24.75Fe24.75Ni24.75Sn0.99","CMA",867,1034,1432,"NAN","NAN"
"Co24.69Cu24.69Fe24.69Ni24.69Sn1.23","CMA",865,1034,1434,"NAN","NAN"
"Co24.39Cu24.39Fe24.39Ni24.39Sn2.44","CMA",832,994,1433,"NAN","NAN"
"Co18.2Cr18.2Fe18.2Mn18.2Ni18.2V9.1","CMA",865,1059,1469,"NAN","NAN"
"Co24.57Cu24.57Fe24.57Ni24.57Sn1.72","CMA",863,1032,1434,"NAN","NAN"
"Co24.88Cu24.88Fe24.88Ni24.88Sn0.50","CMA",867,1035,1432,"NAN","NAN"
"Co22.22Cu22.22Fe22.22Ni22.22Ni11.11","CMA",866,1033,1432,"NAN","NAN"
"Co22.22Cr22.22Cu11.11Fe22.22Ni22.22","CMA",871,1043,1436,"NAN","NAN"
"Co17.4Cr17.4Fe17.4Mn17.4Ni17.4V13.0","CMA",863,1057,1469,"NAN","NAN"
"Co16.7Cr16.7Fe16.7Mn16.7Ni16.7Ti16.7","CMA",834,890,1280,"NAN","NAN"
"Co16.7Cr16.7Fe16.7Ni16.7Mn16.7Cu16.7","CMA",830,975,1410,"NAN","NAN"
"Co20Fe20Ni10Cr12.5Mo12.5C12.5B12.5","MMG",809.48,859.31,"NAN","NAN","NAN"
"Co25Fe12.5Ni12.5Cr12.5Mo12.5C12.5B12.5","MMG",817.6,882.69,"NAN","NAN","NAN"
"Co18.18Cr18.18Fe18.18Mn18.18Ni18.18V9.09","CMA",865,1059,1469,"NAN","NAN"
"Co19.05Cr19.05Fe19.05Mn19.05Ni19.05V4.76","CMA",848,1017,1439,"NAN","NAN"
"Co25Fe16.66667Ni8.333333Cr15Mo15C10B10","MMG",813.6,884.38,"NAN","NAN","NAN"
"Co25Fe16.66667Ni8.333333Cr10Mo10C15B15","MMG",855.41,900.92,"NAN","NAN","NAN"
"Co18.18Cr18.18Cu18.18Fe18.18Ni18.18Ti9.09","CMA",842,1001,1426,"NAN","NAN"
"Co16.67Cr16.67Cu16.67Fe16.67Ni16.67Ti16.67","CMA",841,950,1356,"NAN","NAN"
"Co17.24Cr17.24Cu17.24Fe17.24Ni17.24Ti13.79","CMA",840,944,1348,"NAN","NAN"
"Co16.67Cr16.67Ni16.67Fe16.67Cr16.67Ti16.67","CMA",869,969,1337,"NAN","NAN"
"Co19.61Cu19.61Fe19.61Mn19.61Ni19.61Sn1.96","CMA",812,914,1351,"NAN","NAN"
"Co19.88Cu19.88Fe19.88Mn19.88Ni19.88Sn0.60","CMA",820,922,1349,"NAN","NAN"
"Co19.69Cu19.69Fe19.69Mn19.69Ni19.69Sn1.57","CMA",820,925,1354,"NAN","NAN"
"Co17.39Cr17.39Fe17.39Mn17.39Ni17.39V13.04","CMA",863,1057,1469,"NAN","NAN"
"Co19.80Cu19.80Fe19.80Mn19.80Ni19.80Sn0.99","CMA",820,922,1349,"NAN","NAN"
"Co16.67Cr16.67Fe16.67Mn16.67Ni16.67V16.67","CMA",866,1059,1469,"NAN","NAN"
"Co16.66667Fe16.66667Ni16.66667Cr10Mo10C15B15","MMG",818.08,855.15,"NAN","NAN","NAN"
"Co21.42857Fe21.42857Ni7.142857Cr15Mo15C10B10","MMG",803.39,879.72,"NAN","NAN","NAN"
"Co21.42857Fe21.42857Ni7.142857Cr10Mo10C15B15","MMG",839.04,897.45,"NAN","NAN","NAN"
"Co25Fe16.66667Ni8.333333Cr12.5Mo12.5C12.5B12.5","MMG",824.64,895.41,"NAN","NAN","NAN"
"Co16.66667Fe16.66667Ni16.66667Cr12.5Mo12.5C12.5B12.5","MMG",798.2,846.26,"NAN","NAN","NAN"
"Co21.42857Fe21.42857Ni7.142857Cr12.5Mo12.5C12.5B12.5","MMG",818.14,872.62,"NAN","NAN","NAN"
"Co28.57Fe28.57Ni28.57Si14.29","CMA",834,1002,1441,"NAN","NAN"
"Co22.9Cr22.9Fe22.9Ni22.9Al8.6","CMA",844,1012,1439,"NAN","NAN"
"Co23.5Cr23.5Fe23.5Ni23.5Al5.9","CMA",873,1048,1439,"NAN","NAN"
"Co23.2Cr23.2Fe23.2Nb7.2Ni23.2","CMA",898,1099,1469,"NAN","NAN"
"Co23.3Cr23.3Fe23.3Ni23.3Mo7.0","CMA",897,1099,1470,"NAN","NAN"
"Co27.8Cu13.9Fe27.8Ni27.8Ta2.8","CMA",869,1042,1439,"NAN","NAN"
"Co22.7Cr22.7Fe22.7Nb9.1Ni22.7","CMA",898,1098,1467,"NAN","NAN"
"Co22.2Cr22.2Fe22.2Ni22.2Al11.1","CMA",845,984,1398,"NAN","NAN"
"Co12.5Cr12.5Fe12.5Al12.5Ni50.0","CMA",829,986,1427,"NAN","NAN"
"Co22.73Fe22.73Mo9.09Ni22.73V22.73","CMA",973,1120,1435,"NAN","NAN"
"Co25.0Cr16.7Fe16.7Mo8.3Ni25.0Ti8.3","CMA",918,1131,1479,"NAN","NAN"
"Co22.7Cr22.7Fe22.7Ni22.7Al6.8Mo2.3","CMA",884,1077,1462,"NAN","NAN"
"Co22.67Cr22.67Fe22.67Nb9.34Ni22.67","CMA",898,1098,1467,"NAN","NAN"
"Co18.5Fe18.5Mn18.5Ti18.5V18.5Zr7.4","CMA",827,904,1310,"NAN","NAN"
"Co23.21Cr23.21Fe23.21Nb7.17Ni23.21","CMA",898,1099,1469,"NAN","NAN"
"Co23.81Cu23.81Fe23.81Ni23.81Sn4.76","CMA",804,889,1326,"NAN","NAN"
"Co13.3Cr13.3Cu13.3Fe13.3Ni13.3Ti33.3","CMA",797,841,1266,"NAN","NAN"
"Co22.22Cr22.22Fe22.22Mo11.11Ni22.22","CMA",910,1123,1481,"NAN","NAN"
"Co17.5Fe17.5Mn17.5Ti17.5V17.5Zr12.3","CMA",835,915,1314,"NAN","NAN"
"Co23.8Cr15.9Fe15.9Mo12.7Ni23.8Ti7.9","CMA",934,1163,1494,"NAN","NAN"
"Co17.0Cr17.0Fe17.0Ni17.0Cu17.0Al8.5V6.8","CMA",821,923,1350,"NAN","NAN"
"Co16.4Cr16.4Fe16.4Ni16.4Cu16.4Al8.2V9.8","CMA",822,925,1351,"NAN","NAN"
"Co15.9Cr15.9Fe15.9Ni15.9Cu15.9Al7.7V12.7","CMA",821,906,1325,"NAN","NAN"
"Co15.2Cr15.2Fe15.2Ni15.2Cu15.2Al9.1V15.2","CMA",817,893,1312,"NAN","NAN"
"Co13.3Cr13.3Fe13.3Ni13.3Cu13.3Al6.7V26.7","CMA",831,894,1290,"NAN","NAN"
"Co13.7Cr13.7Fe13.7Ni13.7Cu13.7Al6.9V24.7","CMA",831,892,1289,"NAN","NAN"
"Co14.1Cr14.1Fe14.1Ni14.1Cu14.1Al7.0V22.5","CMA",835,904,1299,"NAN","NAN"
"Co14.5Cr14.5Fe14.5Ni14.5Cu14.5Al7.3V20.3","CMA",835,906,1301,"NAN","NAN"
"Co19.23Cu19.23Fe19.23Mn19.23Ni19.23Sn3.85","CMA",805,893,1331,"NAN","NAN"
"Co17.39Cr17.39Cu17.39Ni17.39Ni17.39Nb13.04","CMA",903,1105,1468,"NAN","NAN"
"Co14.29Fe14.29Ni14.29Ni14.29V14.29V14.29Zr14.29","CMA",865,951,1319,"NAN","NAN"
"Co16.7Fe16.7Ni16.7Al16.7Cr33.3","CMA",814,856,1262,"NAN","NAN"
"Co20.0Cr20.0Fe20.0Ni20.0Cu5.0Al15.0","CMA",809,864,1281,"NAN","NAN"
"Co21.74Fe21.74Mo13.04Ni21.74V21.74","CMA",944,1158,1471,"NAN","NAN"
"Co14.3Cr14.3Fe14.3Al14.3Ni42.9","CMA",820,923,1352,"NAN","NAN"
"Co16.7Ni16.7Cr16.7Al16.7Fe33.3","CMA",801,847,1270,"NAN","NAN"
"Co14.3Cr14.3Fe14.3Ni14.3Cu14.3Al14.3V14.3","CMA",776,820,1268,"NAN","NAN"
"Co12.5Fe12.5Mn12.5Ti12.5V37.5Zr12.5","CMA",869,988,1364,"NAN","NAN"
"Co15.4Cr15.4Fe15.4Al15.4Ni38.5","CMA",820,909,1331,"NAN","NAN"
"Cr16.7Fe16.7Ni16.7Al16.7Co33.3","CMA",809,861,1278,"NAN","NAN"
"Co13.2Fe13.2Mn13.2Ti13.2V34.2Zr13.2","CMA",866,982,1361,"NAN","NAN"
"Co13.7Fe13.7Mn13.7Ti13.7V31.5Zr13.7","CMA",867,982,1359,"NAN","NAN"
"Co16.7Cr16.7Fe16.7Al16.7Ni33.3","CMA",809,861,1278,"NAN","NAN"
"Co20.5Cr20.5Fe20.5Ni20.5Al18.0","CMA",800,846,1270,"NAN","NAN"
"Co13.3Fe13.3Mn13.3Ti33.3V13.3Zr13.3","CMA",856,965,1353,"NAN","NAN"
"Co14.3Fe14.3Mn14.3Ti14.3V28.6Zr14.3","CMA",868,976,1349,"NAN","NAN"
"Co18.2Cr18.2Fe18.2Al18.2Ni27.3","CMA",802,849,1270,"NAN","NAN"
"Co14.3Fe14.3Mn14.3Ti28.6V14.3Zr14.3","CMA",858,968,1353,"NAN","NAN"
"Co15.2Fe15.2Mn15.2Ti15.2V24.2Zr15.2","CMA",867,958,1326,"NAN","NAN"
"Co19.1Cr19.1Fe19.1Ni19.1Cu4.8Al19.1","CMA",972,831,1258,"NAN","NAN"
"Co15.4Fe15.4Mn15.4Ti23.1V15.4Zr15.4","CMA",860,967,1350,"NAN","NAN"
"Co15.9Fe15.9Mn15.9Ti15.9V20.6Zr15.9","CMA",865,953,1322,"NAN","NAN"
"Co26.67Fe26.67Ni26.67Si19.99","CMA",820,889,1301,"NAN","NAN"
"Co16.7Cr16.7Fe16.7Mn16.7Nb16.7Ni16.7","CMA",925,1133,1470,"NAN","NAN"
"Co15.4Cr15.4Fe30.8Ni15.4Al15.4Mo7.7","CMA",844,972,1381,"NAN","NAN"
"Co20.0Ni20.0Cr20.0Al20.0Fe20.0","CMA",794,832,1258,"NAN","NAN"
"Co16.7Fe16.7Mn16.7Ti16.7V16.7Zr16.7","CMA",865,953,1321,"NAN","NAN"
"Co30.8Cr15.4Fe15.4Ni15.4Al15.4Mo7.7","CMA",848,1018,1441,"NAN","NAN"
"Co16.67Fe16.67Mo16.67Ni33.33V16.67","CMA",939,1155,1476,"NAN","NAN"
"Co20.8Cr20.8Fe20.8Mo16.7Ni20.8","CMA",910,1124,1483,"NAN","NAN"
"Co21.3Cr21.3Fe21.3Al21.3Ni15.0","CMA",797,834,1257,"NAN","NAN"
"Co20.0Cr20.0Fe20.0Ni20.0Zr20.0","CMA",857,962,1347,"NAN","NAN"
"Co17.5Fe17.5Mn17.5Ti17.5V12.3Zr17.5","CMA",859,951,1328,"NAN","NAN"
"Co15.6Cr15.6Fe15.6Ni15.6Cu15.6Al15.6Mo6.3","CMA",802,877,1312,"NAN","NAN"
"Co21.3Ni21.3Cr21.3Al21.3Fe15.0","CMA",797,834,1255,"NAN","NAN"
"Co17.24Fe17.24Mo17.24Ni31.03V17.24","CMA",939,1155,1476,"NAN","NAN"
"Co18.2Fe18.2Mn18.2Ti9.1V18.2Zr18.2","CMA",849,929,1313,"NAN","NAN"
"Co21.3Fe21.3Ni21.3Al21.3Cr15.0","CMA",791,828,1257,"NAN","NAN"
"Co19.05Cr19.05Fe19.05Ni19.05Al19.05Nb4.76","CMA",796,835,1259,"NAN","NAN"
"Co22.5Cr22.5Fe22.5Al22.5Ni10.0","CMA",796,831,1253,"NAN","NAN"
"Co20.0Cr20.0Ni20.0Cu20.0Al20.0","CMA",787,818,1248,"NAN","NAN"
"Co18.5Fe18.5Mn18.5Ti18.5V7.4Zr18.5","CMA",844,931,1323,"NAN","NAN"
"Co25.0Cr16.7Fe16.7Ni16.7Al16.7Mo8.3","CMA",842,966,1377,"NAN","NAN"
"Co17.86Fe17.86Mo17.86Ni28.57V17.86","CMA",939,1154,1475,"NAN","NAN"
"Co15.2Cr15.2Fe15.2Ni15.2Cu15.2Al15.2Mo9.1","CMA",811,904,1338,"NAN","NAN"
"Co22.5Ni22.5Cr22.5Al22.5Fe10.0","CMA",797,830,1249,"NAN","NAN"
"Co16.7Cr25.0Fe16.7Ni16.7Al16.7Mo8.3","CMA",849,928,1311,"NAN","NAN"
"Co20.0Cr20.0Fe20.0Nb20.0Ni20.0","CMA",936,1172,1503,"NAN","NAN"
"Co23.8Cr23.8Fe23.8Al23.8Ni5.0","CMA",796,836,1259,"NAN","NAN"
"Co16.67Fe16.67Mo16.67Ni16.67Ti16.67V16.67","CMA",941,1127,1438,"NAN","NAN"
"Co27.0Cu13.5Fe27.0Ni27.0Ta5.4","CMA",872,1046,1441,"NAN","NAN"
"Co20.83Fe20.83Mo16.67V20.83V20.83","CMA",942,1125,1432,"NAN","NAN"
"Co22.5Fe22.5Ni22.5Al22.5Cr10.0","CMA",784,817,1250,"NAN","NAN"
"Co19.1Cr19.1Fe19.1Ni 19.1Al23.8","CMA",794,830,1256,"NAN","NAN"
"Co23.8Ni23.8Cr23.8Al23.8Fe5.0","CMA",797,830,1251,"NAN","NAN"
"Co18.52Fe18.52Mo18.52Ni25.93V18.52","CMA",938,1149,1471,"NAN","NAN"
"Co20.0Cr20.0Fe20.0Ni20.0W20.0","CMA",946,1175,1490,"NAN","NAN"
"Co25.6Cu12.8Fe25.6Ni25.6Ta10.3","CMA",888,1088,1471,"NAN","NAN"
"Co25.0Cu12.5Fe25.0Ni25.0Ta12.5","CMA",888,1089,1471,"NAN","NAN"
"Co19.1Ce19.1Fe19.1Mn19.1Ni19.1V4.8","CMA",786,898,1370,"NAN","NAN"
"Co24.4Cu12.2Fe24.4Ni24.4Ta14.6","CMA",920,1132,1477,"NAN","NAN"
"Co20.0Cr20.0Fe20.0Hf20.0Ni20.0","CMA",868,976,1349,"NAN","NAN"
"Co20.0Cr20.0Fe20.0Ni20.0Ta20.0","CMA",937,1172,1501,"NAN","NAN"
"Co42.5Cu0.5Fe20Ta5.5B31.5","MMG",883,920,"NAN","NAN","NAN"
"Co43Fe20Ta5.5B26.5Si5","MMG",892,938,"NAN","NAN","NAN"
"Co42.5Cu0.5Fe20Ta5.5B26.5Si5","MMG",892,939,"NAN","NAN","NAN"
"Co14.3Fe14.3Mn14.3Ti14.3V14.3Zr28.6","CMA",749,823,1318,"NAN","NAN"
"Co20Cr20Fe20Ni20Pd20","CMA",886,1086,1470,"NAN","NAN"
